r2,mse,mae,model,seed
0.28177920931430955,25.951047357502397,3.5190854517979915,catboost,0
-19.521203742641763,290.73046097761124,13.623338894376797,mt_extra_trees,0
0.28177920931430955,25.951047357502397,3.5190854517979915,catboost,1
-19.521203742641763,290.73046097761124,13.623338894376797,mt_extra_trees,1
0.28177920931430955,25.951047357502397,3.5190854517979915,catboost,2
-19.521203742641763,290.73046097761124,13.623338894376797,mt_extra_trees,2
0.28177920931430955,25.951047357502397,3.5190854517979915,catboost,3
-19.521203742641763,290.73046097761124,13.623338894376797,mt_extra_trees,3
0.28177920931430955,25.951047357502397,3.5190854517979915,catboost,4
-19.521203742641763,290.73046097761124,13.623338894376797,mt_extra_trees,4
