model,label,r2,mse,rmse,mae,seed
multioutput_svr__hh_vaem,Flexural strength,0.1399912239593245,23.15999322876036,4.812483062698544,3.477989746767144,40
gbdt__hh_vaem,Flexural strength,0.6383507059818114,9.739197359366326,3.1207687128921178,2.5539070880574286,40
multitask_gp__hh_vaem,Flexural strength,0.2438400528780933,20.363349471651045,4.5125768106095485,3.166706159148937,40
random_forest__gtmcc,Flexural strength,0.25176150645082995,20.15002512401922,4.488877935967876,3.205925846128147,40
ridge__gtmcc,Flexural strength,-1.303889963764934,62.04364123614614,7.876778607790506,5.562509187587988,40
multitask_lasso__gtmcc,Flexural strength,-2.278112027615546,88.27939258041144,9.395711392992627,6.730852440066583,40
multitask_elasticnet__gtmcc,Flexural strength,-1.6493165954782159,71.34596311284142,8.446653959577214,6.019467241619292,40
multioutput_gp__gtmcc,Flexural strength,-0.07711098493722024,29.00654483157224,5.385772445208973,4.402931890381827,40
multioutput_svr__gtmcc,Flexural strength,-0.9049467212562115,51.30011971337888,7.162410188852554,6.278715269940857,40
gbdt__gtmcc,Flexural strength,0.09569381355485629,24.352920270438105,4.934867806784505,3.846773857122678,40
multitask_gp__gtmcc,Flexural strength,-0.503976267072342,40.50200548181881,6.364118594261016,4.297553515319149,40
