r2,mse,rmse,mae,model,seed
0.14118180177547238,31.769264818621167,5.636423051778598,3.889232329106108,random_forest__missforest,10
-0.22288634562481097,103.5769363890509,10.177275489493782,5.813480566334514,ridge__missforest,10
-0.23632355614166722,106.89320195399611,10.338916865610058,5.881168319113641,multitask_lasso__missforest,10
-0.2302376736580981,105.38517321122484,10.265728089679019,5.849829502590602,multitask_elasticnet__missforest,10
-0.010311624877324121,98.74071653351508,9.936836344305721,5.894942234193211,multioutput_gp__missforest,10
-0.21903657723095984,79.58332500510006,8.920948660602193,5.14952886328943,multioutput_svr__missforest,10
-0.03174635211865792,41.944736199036186,6.476475600126676,4.490072017341201,gbdt__missforest,10
-0.14855122101263574,89.10720992809763,9.439661536734123,5.040931127670212,multitask_gp__missforest,10
0.2635474019177271,38.378354242171916,6.19502657316108,4.269891750934569,random_forest__rfe_missforest,10
-0.027388584683896988,101.60046990136526,10.079705843989956,5.696397282537527,ridge__rfe_missforest,10
-0.03528142803413001,104.28482086199631,10.211993970914609,5.7514595214081705,multitask_lasso__rfe_missforest,10
-0.031717236290117024,103.07111799572465,10.152394692668555,5.725463847577051,multitask_elasticnet__rfe_missforest,10
-0.08008086646046408,98.52598269608568,9.926025523646697,6.049206427723232,multioutput_gp__rfe_missforest,10
0.04329907000157693,72.40672030076742,8.509213847399032,5.045261119354065,multioutput_svr__rfe_missforest,10
0.23956560973827262,47.84049704495814,6.916682517288049,4.746800390974831,gbdt__rfe_missforest,10
0.0269273915106312,86.70047166970876,9.311308805410158,5.1641319224361695,multitask_gp__rfe_missforest,10
0.2720695840108308,32.6433619825446,5.71343696758305,3.9371206489514865,random_forest__hyperimpute,10
-0.15966483700088824,96.26499252831738,9.811472495416648,5.948367625301993,ridge__hyperimpute,10
-0.18409596158396016,99.44212550453054,9.972067263337655,6.043261519548871,multitask_lasso__hyperimpute,10
-0.1728096959016301,97.98943523470818,9.898961321002734,5.999485147777953,multitask_elasticnet__hyperimpute,10
-0.23130347621390496,104.16944100890859,10.206343175148904,6.587623062904884,multioutput_gp__hyperimpute,10
-0.43551310458742265,68.33670162751972,8.266601576677063,5.475818552478305,multioutput_svr__hyperimpute,10
-0.0450057351492856,38.92338585225859,6.238860941891444,4.703169628206194,gbdt__hyperimpute,10
-0.23759658142029308,82.10564686512781,9.061216632722552,5.525094227978723,multitask_gp__hyperimpute,10
-0.03566232989604537,46.11996658810659,6.791168278588493,4.629381151916986,random_forest__knn_based_method_matimputer,10
-0.21255999091790828,109.72190766550895,10.474822560096612,6.101518257518288,ridge__knn_based_method_matimputer,10
-0.22295237029522452,113.36362040411561,10.647235340881481,6.162509798162132,multitask_lasso__knn_based_method_matimputer,10
-0.21817720638500465,111.7048540343241,10.569051709322085,6.135308937520264,multitask_elasticnet__knn_based_method_matimputer,10
-0.06742705770885732,100.15762451799951,10.007878122659143,6.132406311610227,multioutput_gp__knn_based_method_matimputer,10
-0.039079007146648276,65.16271021134607,8.072342300184381,5.02659697418987,multioutput_svr__knn_based_method_matimputer,10
0.07109732836937474,39.318622863502576,6.27045635209293,4.477993656582019,gbdt__knn_based_method_matimputer,10
-0.08188647340320232,80.62611949360247,8.97920483637624,5.069274368542553,multitask_gp__knn_based_method_matimputer,10
-2.281535221929248,73.48819832490423,8.57252578444091,6.719336523578448,random_forest__gain,10
-2.173792717190336,203.5611771617312,14.267486714965996,9.503741384499158,ridge__gain,10
-2.1844795180496095,206.94761949649612,14.385674106432973,9.523163490896366,multitask_lasso__gain,10
-2.1795507206842593,205.36841692287965,14.330680965079072,9.5143620620511,multitask_elasticnet__gain,10
-0.7272088784428379,163.3879122635953,12.782328123765064,7.967168256518437,multioutput_gp__gain,10
-2.708060205720779,153.8611377853342,12.404077466113076,8.769828829917182,multioutput_svr__gain,10
-2.621845854627628,79.1278015860282,8.895380912924876,6.829614558180771,gbdt__gain,10
-2.5817753413407987,184.54962179736236,13.584904188008187,9.316767393414894,multitask_gp__gain,10
0.3092153544663638,38.502530731735966,6.205040751819118,4.130898939811508,random_forest__sinkhorn,10
-0.004655131420423009,101.66777605788667,10.08304398769968,5.563576417242781,ridge__sinkhorn,10
