Si,Fe,Cu,Mn,Mg,Cr,Ni,Zn,Ga,V,Ti,Zr,Bi,Pb,Li,B,Sc,Be,S_A_Temp,Ageing_Temp,Ageing_Time,Air,Furnace,Water,6% Work Hardening,7% Work Hardening,Compression,Cryrolling,HT Work Hardening,Rolling,Stretch,Work Hardening Level 1,Work Hardening Level 2,Work Hardening Level 4,Work Hardening Level 6,Work Hardening Level 8,Work hardening,none_strain,Artificial,Natural,Overageing,none_age,Partial Annealed,Stablized,none_treat,Drawn,Extruded,Forged,Rolled,Thixoformed,unspecified_man,Tube,Wire,Sheet,Bar,unspecified_prod,Plate,Foil,Rod,Die Forging,Ring,Forging,Ingot,Fin Stock,UTS
0.125,0.155,0.025,0.015,0.015,0,0,0.025,0,0.025,0.015,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,131
0.125,0.155,0.025,0.015,0.015,0,0,0.025,0,0.025,0.015,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,110
0.125,0.155,0.025,0.015,0.015,0,0,0.025,0,0.025,0.015,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,110
0.125,0.155,0.025,0.015,0.015,0,0,0.025,0,0.025,0.015,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,97
0.125,0.155,0.025,0.015,0.015,0,0,0.025,0,0.025,0.015,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,110
0.125,0.155,0.025,0.015,0.015,0,0,0.025,0,0.025,0.015,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,83
0.125,0.155,0.025,0.015,0.015,0,0,0.025,0,0.025,0.015,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,83
0.125,0.155,0.025,0.015,0.015,0,0,0.025,0,0.025,0.015,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,83
0.125,0.155,0.025,0.015,0.015,0,0,0.025,0,0.025,0.015,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,99
0.125,0.155,0.025,0.015,0.015,0,0,0.025,0,0.025,0.015,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,92.5
0.125,0.155,0.025,0.015,0.015,0,0,0.025,0,0.025,0.015,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,70
0.125,0.155,0.025,0.015,0.015,0,0,0.025,0,0.025,0.015,0,0,0,0,0,0,0,345,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,69
0.125,0.155,0.025,0.015,0.015,0,0,0.025,0,0.025,0.015,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,58
0.125,0.155,0.025,0.015,0.015,0,0,0.025,0,0.025,0.015,0,0,0,0,0,0,0,345,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,58
0.125,0.155,0.025,0.015,0.015,0,0,0.025,0,0.025,0.015,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,76.5
0.125,0.155,0.025,0.015,0.015,0,0,0.025,0,0.025,0.015,0,0,0,0,0,0,0,345,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,76.5
0.125,0.155,0.025,0.015,0.015,0,0,0.025,0,0.025,0.015,0,0,0,0,0,0,0,345,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,75
0.35,0.35,0.2,0.035,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,150
0.35,0.35,0.2,0.035,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,130
0.35,0.35,0.2,0.035,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,127.5
0.35,0.35,0.2,0.035,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,110
0.35,0.35,0.2,0.035,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,343,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,105
0.35,0.35,0.2,0.035,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,343,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,105
0.35,0.35,0.2,0.035,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,95
0.35,0.35,0.2,0.035,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,158
0.35,0.35,0.2,0.035,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,158
0.35,0.35,0.2,0.035,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
0.35,0.35,0.2,0.035,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,165
0.35,0.35,0.2,0.035,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
0.35,0.35,0.2,0.035,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,143
0.35,0.35,0.2,0.035,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,143
0.35,0.35,0.2,0.035,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
0.35,0.35,0.2,0.035,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,126
0.35,0.35,0.2,0.035,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,126
0.35,0.35,0.2,0.035,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,110
0.35,0.35,0.2,0.035,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
0.35,0.35,0.2,0.035,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,111
0.35,0.35,0.2,0.035,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,111
0.35,0.35,0.2,0.035,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,84
0.35,0.35,0.2,0.035,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,343,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,90
0.35,0.35,0.2,0.035,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,343,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,90
0.35,0.35,0.2,0.035,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,343,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,90
0.35,0.35,0.2,0.035,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,343,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,90
0.35,0.35,0.2,0.035,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,343,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,90
0.35,0.35,0.2,0.035,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,343,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,90
0.35,0.35,0.2,0.035,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,75
0.35,0.35,0.2,0.035,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,75
0.35,0.35,0.2,0.035,0,0,0,0.065,0,0,0,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,75
0.2,0.2,0.026,0.026,0.026,0,0,0.026,0,0.026,0.02,0,0,0,0,0,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,145
0.2,0.2,0.026,0.026,0.026,0,0,0.026,0,0.026,0.02,0,0,0,0,0,0,0,345,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,85
0.0014,0.0014,0.0014,0.0005,0.0014,0,0,0.0014,0.001,0.001,0.0005,0,0,0,0,0,0,0,345,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,45
0.04,0.15,0.02,0.005,0,0.005,0,0.025,0.015,0.01,0.01,0,0,0,0,0.02,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,132.5
0.04,0.15,0.02,0.005,0,0.005,0,0.025,0.015,0.01,0.01,0,0,0,0,0.02,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,132.5
0.04,0.15,0.02,0.005,0,0.005,0,0.025,0.015,0.01,0.01,0,0,0,0,0.02,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,127.5
0.04,0.15,0.02,0.005,0,0.005,0,0.025,0.015,0.01,0.01,0,0,0,0,0.02,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,127.5
0.04,0.15,0.02,0.005,0,0.005,0,0.025,0.015,0.01,0.01,0,0,0,0,0.02,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,125
0.04,0.15,0.02,0.005,0,0.005,0,0.025,0.015,0.01,0.01,0,0,0,0,0.02,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,125
0.04,0.15,0.02,0.005,0,0.005,0,0.025,0.015,0.01,0.01,0,0,0,0,0.02,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,122.5
0.04,0.15,0.02,0.005,0,0.005,0,0.025,0.015,0.01,0.01,0,0,0,0,0.02,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,122.5
0.04,0.15,0.02,0.005,0,0.005,0,0.025,0.015,0.01,0.01,0,0,0,0,0.02,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,112.5
0.04,0.15,0.02,0.005,0,0.005,0,0.025,0.015,0.01,0.01,0,0,0,0,0.02,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,112.5
0.04,0.15,0.02,0.005,0,0.005,0,0.025,0.015,0.01,0.01,0,0,0,0,0.02,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,99
0.04,0.15,0.02,0.005,0,0.005,0,0.025,0.015,0.01,0.01,0,0,0,0,0.02,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,99
0.04,0.15,0.02,0.005,0,0.005,0,0.025,0.015,0.01,0.01,0,0,0,0,0.02,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,99
0.04,0.15,0.02,0.005,0,0.005,0,0.025,0.015,0.01,0.01,0,0,0,0,0.02,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99
0.04,0.15,0.02,0.005,0,0.005,0,0.025,0.015,0.01,0.01,0,0,0,0,0.02,0,0,345,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,76.5
0.04,0.15,0.02,0.005,0,0.005,0,0.025,0.015,0.01,0.01,0,0,0,0,0.02,0,0,345,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,75
0.04,0.15,0.02,0.005,0,0.005,0,0.025,0.015,0.01,0.01,0,0,0,0,0.02,0,0,345,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,75
0.04,0.15,0.02,0.005,0,0.005,0,0.025,0.015,0.01,0.01,0,0,0,0,0.02,0,0,25,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,69
0.04,0.15,0.02,0.005,0,0.005,0,0.025,0.015,0.01,0.01,0,0,0,0,0.02,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,124
0.04,0.15,0.02,0.005,0,0.005,0,0.025,0.015,0.01,0.01,0,0,0,0,0.02,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,110
0.04,0.15,0.02,0.005,0,0.005,0,0.025,0.015,0.01,0.01,0,0,0,0,0.02,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,97
0.04,0.15,0.02,0.005,0,0.005,0,0.025,0.015,0.01,0.01,0,0,0,0,0.02,0,0,25,25,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,83
0.04,0.15,0.02,0.005,0,0.005,0,0.025,0.015,0.01,0.01,0,0,0,0,0.02,0,0,25,25,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,69
