iter	MultiRMSEWithMissingValues
326	7.433564311
327	7.427863807
328	7.421071342
329	7.415451708
330	7.393094423
331	7.382840567
332	7.365909198
333	7.351447238
334	7.33784758
335	7.335358524
336	7.323695648
337	7.313867961
338	7.297999355
339	7.284765596
340	7.275366885
341	7.273624662
342	7.262305034
343	7.251611992
344	7.232003634
345	7.220718043
346	7.202814265
347	7.192799189
348	7.190837235
349	7.171124606
350	7.162918361
351	7.14933269
352	7.136426735
353	7.125781769
354	7.114812383
355	7.092709675
356	7.084057939
357	7.071844917
358	7.056419874
359	7.038711547
360	7.032531909
361	7.028522434
362	7.019220855
363	7.01297732
364	7.001791407
365	6.989445635
366	6.977228969
367	6.956598004
368	6.947133819
369	6.937393148
370	6.926223031
371	6.922110162
372	6.911603181
373	6.899913277
374	6.886660161
375	6.875707157
376	6.861417597
377	6.846619368
378	6.834167874
379	6.814243977
380	6.800456144
381	6.796181845
382	6.77740402
383	6.76471197
384	6.751605354
385	6.746126243
386	6.729112131
387	6.718313465
388	6.712701356
389	6.701893584
390	6.679077082
391	6.670821999
392	6.663353469
393	6.653084152
394	6.641944895
395	6.630205651
396	6.622227078
397	6.607286002
398	6.595809258
399	6.585711115
400	6.574932705
401	6.567544071
402	6.557038681
403	6.550706563
404	6.540080728
405	6.53483984
406	6.527058162
407	6.523036678
408	6.515274049
409	6.501362965
410	6.482728676
411	6.473475943
412	6.460443656
413	6.45211445
414	6.442953986
415	6.428828623
416	6.420308761
417	6.411475043
418	6.408084556
419	6.400211915
420	6.39356719
421	6.387693779
422	6.377501028
423	6.370746263
424	6.364188336
425	6.35809057
426	6.351529507
427	6.345083208
428	6.328455964
429	6.316912686
430	6.309753091
431	6.297237531
432	6.287744962
433	6.28123023
434	6.273796134
435	6.265859807
436	6.255063817
437	6.241615126
438	6.224474357
439	6.220364582
440	6.212371537
441	6.206231636
442	6.200576975
443	6.193251121
444	6.183837609
445	6.172011245
446	6.162116505
447	6.156928839
448	6.149385845
449	6.143369902
450	6.135894972
451	6.131340094
452	6.120258959
453	6.113478677
454	6.105422576
455	6.100178787
456	6.087283055
457	6.078861843
458	6.069870463
459	6.062541703
460	6.052304302
461	6.037302411
462	6.028347145
463	6.023704465
464	6.013108164
465	6.003654445
466	5.996488396
467	5.982389096
468	5.970267785
469	5.964031473
470	5.957945313
471	5.952619538
472	5.945052648
473	5.935694991
474	5.925177826
475	5.91716925
476	5.914382269
477	5.907373999
478	5.903601497
479	5.892464169
480	5.877706502
481	5.874643
482	5.864985038
483	5.857864148
484	5.849538938
485	5.83937209
486	5.834911057
487	5.822983878
488	5.81833384
489	5.813308253
490	5.809069147
491	5.796633013
492	5.785268555
493	5.77067215
494	5.760790368
495	5.756098309
496	5.752720263
497	5.745451759
498	5.738828977
499	5.732825172
500	5.729062582
501	5.719453342
502	5.714785232
503	5.706485005
504	5.699532863
505	5.689652973
506	5.680642991
507	5.67347613
508	5.66387327
509	5.655852387
510	5.652045848
511	5.646703417
512	5.643311009
513	5.631614705
514	5.625885101
515	5.620792327
516	5.610053861
517	5.603152194
518	5.595740295
519	5.591320667
520	5.583682951
521	5.577280221
522	5.568729875
523	5.566964368
524	5.557561227
525	5.551824845
526	5.545524214
527	5.537649338
528	5.53045757
529	5.528370469
530	5.5233386
531	5.517758763
532	5.509758912
533	5.502795153
534	5.498648993
535	5.491805734
536	5.484491898
537	5.477325776
538	5.467414508
539	5.464665865
540	5.461401318
541	5.45609716
542	5.450150674
543	5.442423851
544	5.431356471
545	5.42239316
546	5.415591058
547	5.410959169
548	5.404360657
549	5.398297726
550	5.390207368
551	5.379944056
552	5.372955345
553	5.369509437
554	5.360042701
555	5.354608811
556	5.347810195
557	5.338520343
558	5.329485088
559	5.323222776
560	5.31648528
561	5.310890419
562	5.303396287
563	5.297566078
564	5.292884983
565	5.290289369
566	5.285903643
567	5.280928505
568	5.273033879
569	5.266031436
570	5.262035595
571	5.258026619
572	5.253630665
573	5.246692673
574	5.237362012
575	5.23351694
576	5.227888275
577	5.222630885
578	5.215872318
579	5.212582069
580	5.206518547
581	5.202769621
582	5.198170587
583	5.195294077
584	5.192604131
585	5.188731531
586	5.185190395
587	5.180687
588	5.172838013
589	5.165045427
590	5.161897216
591	5.155850212
592	5.152031108
593	5.147451077
594	5.143607222
595	5.139733462
596	5.133064805
597	5.127993019
598	5.122229294
599	5.115570666
600	5.112422997
601	5.105083744
602	5.096558936
603	5.091644857
604	5.088774703
605	5.083672878
606	5.078353738
607	5.072436474
608	5.069583435
609	5.065570251
610	5.058567959
611	5.052332207
612	5.046750185
613	5.03822048
614	5.029428283
615	5.026018477
616	5.020649436
617	5.013476246
618	5.010472799
619	5.004997208
620	4.999795893
621	4.996460741
622	4.987317043
623	4.983341897
624	4.977968715
625	4.973493146
626	4.969438888
627	4.963368405
628	4.960175407
629	4.956008568
630	4.95180448
631	4.94774395
632	4.942563033
633	4.938000958
634	4.934625681
635	4.932159903
636	4.929127797
637	4.925499742
638	4.917122705
639	4.914518657
640	4.911303517
641	4.905908572
642	4.899993122
643	4.894511405
644	4.89153497
645	4.887586759
646	4.884500171
647	4.882017045
648	4.87687776
649	4.870995753
650	4.86757578
651	4.863793555
652	4.859426636
653	4.855231791
654	4.851180789
655	4.846624156
656	4.842898764
657	4.837555144
658	4.831919376
659	4.827825494
660	4.822149801
661	4.816173535
662	4.81153606
663	4.804644152
664	4.798300549
665	4.794338278
666	4.790596807
667	4.783664753
668	4.778306778
669	4.772034283
670	4.766884536
671	4.764222721
672	4.760713069
673	4.756985588
674	4.751191629
675	4.746851078
676	4.7436037
677	4.74062734
678	4.738736281
679	4.730311783
680	4.729157045
681	4.723589032
682	4.716541534
683	4.714181689
684	4.70577251
685	4.702347726
686	4.697228613
687	4.692946386
688	4.690538152
689	4.686295071
690	4.680877215
691	4.678064512
692	4.672420925
693	4.66719007
694	4.665198191
695	4.662988922
696	4.658026367
697	4.654547143
698	4.651908465
699	4.647046381
700	4.644691726
701	4.638702103
702	4.635894033
703	4.630235
704	4.626624506
705	4.622697381
706	4.618944327
707	4.614174013
708	4.608860952
709	4.604690176
710	4.601094528
711	4.59782885
712	4.594836418
713	4.591294324
714	4.587243964
715	4.58200193
716	4.579559923
717	4.576351133
718	4.571300791
719	4.567972847
720	4.562264751
721	4.560836826
722	4.557258339
723	4.555610552
724	4.553143777
725	4.548808727
726	4.546387904
727	4.5402743
728	4.537179853
729	4.531545954
730	4.524780779
731	4.521629984
732	4.51679667
733	4.511329159
734	4.508779931
735	4.504430103
736	4.50031407
737	4.494904111
738	4.489159273
739	4.485060244
740	4.483430474
741	4.47989793
742	4.476083454
743	4.473541173
744	4.46570755
745	4.461343306
746	4.456371341
747	4.452119057
748	4.447524752
749	4.442264306
750	4.436866643
751	4.433453427
752	4.429484649
753	4.422749288
754	4.418923245
755	4.413607788
756	4.409941585
757	4.405443251
758	4.400644629
759	4.39865655
760	4.395699799
761	4.392932297
762	4.386812294
763	4.38340795
764	4.37803801
765	4.376386361
766	4.374554158
767	4.370669913
768	4.367166754
769	4.363738703
770	4.359795965
771	4.355693066
772	4.352935274
773	4.348531275
774	4.346831905
775	4.343764389
776	4.341358627
777	4.338145228
778	4.331681116
779	4.327298788
780	4.323642767
781	4.320722536
782	4.31820738
783	4.314303101
784	4.310107622
785	4.307351555
786	4.30415943
787	4.301168252
788	4.298149302
789	4.294237123
790	4.292093624
791	4.285931237
792	4.282376199
793	4.279615715
794	4.277246741
795	4.27615479
796	4.272365388
797	4.269431926
798	4.264451897
799	4.262860633
800	4.25829467
801	4.256392568
802	4.252827003
803	4.249390084
804	4.245267174
805	4.242943149
806	4.240977591
807	4.23722089
808	4.234938758
809	4.233267139
810	4.230780482
811	4.227104592
812	4.224898483
813	4.223881792
814	4.218821108
815	4.214592761
816	4.213553875
817	4.210460268
818	4.208063317
819	4.206491124
820	4.202239541
821	4.19986355
822	4.197168955
823	4.195941151
824	4.191801373
825	4.189356664
826	4.183094682
827	4.180527435
828	4.175338648
829	4.172563705
830	4.167811383
831	4.165397276
832	4.161410171
833	4.158173784
834	4.154652272
835	4.152170757
836	4.149497246
837	4.146919621
838	4.145929389
839	4.143163531
840	4.139732676
841	4.136712092
842	4.133956287
843	4.130173898
844	4.124961844
845	4.123055639
846	4.120438399
847	4.118992787
848	4.116223399
849	4.110840545
850	4.108664429
851	4.105523993
852	4.103366684
853	4.099568093
854	4.097630274
855	4.095785692
856	4.092942161
857	4.088533769
858	4.085049244
859	4.082988217
860	4.080217223
861	4.078931426
862	4.074791773
863	4.071072698
864	4.069624698
865	4.067675474
866	4.065378791
867	4.062119574
868	4.058680094
869	4.055598993
870	4.052948708
871	4.048235374
872	4.045546853
873	4.041535858
874	4.03856477
875	4.036200282
876	4.033628385
877	4.031513956
878	4.029041857
879	4.027599308
880	4.025544373
881	4.023208428
882	4.020022388
883	4.017690546
884	4.012898835
885	4.011327424
886	4.009362947
887	4.007268269
888	4.003415207
889	4.001046982
890	3.997161705
891	3.992212565
892	3.989975837
893	3.987846498
894	3.986527705
895	3.985014886
896	3.983020304
897	3.979990408
898	3.978596797
899	3.974569412
900	3.969822651
901	3.968265267
902	3.965691268
903	3.9640437
904	3.96137733
905	3.960225797
906	3.956938123
907	3.954246684
908	3.950593402
909	3.948593488
910	3.94624092
911	3.943448546
912	3.939676639
913	3.937435071
914	3.933792602
915	3.930698611
916	3.9280213
917	3.926033376
918	3.923956277
919	3.920687488
920	3.917031626
921	3.913727421
922	3.911800025
923	3.907317254
924	3.904622053
925	3.901039308
926	3.898097758
927	3.894296139
928	3.891568418
929	3.889866078
930	3.887149675
931	3.884175527
932	3.87947607
933	3.874982195
934	3.873454969
935	3.869414293
936	3.867345317
937	3.861603614
938	3.859459575
939	3.85739962
940	3.856453842
941	3.853162976
942	3.851588513
943	3.849620408
944	3.847867475
945	3.846306275
946	3.845433529
947	3.84396097
948	3.840733402
949	3.837184934
950	3.834768338
951	3.832142084
952	3.829451134
953	3.8289175
954	3.824649199
955	3.822443272
956	3.820565088
957	3.817748903
958	3.81404845
959	3.811706889
960	3.809965455
961	3.807300906
962	3.803269764
963	3.801517883
964	3.799716618
965	3.796868934
966	3.79253605
967	3.789597013
968	3.787504
969	3.786093962
970	3.782645404
971	3.778604092
972	3.776605851
973	3.773856118
974	3.772089318
975	3.769860773
976	3.768500299
977	3.76648839
978	3.763226271
979	3.761905248
980	3.759420382
981	3.756165456
982	3.753074343
983	3.750031929
984	3.746798789
985	3.743669563
986	3.742322904
987	3.741452791
988	3.738942561
989	3.737351021
990	3.73248201
991	3.731426746
992	3.729883589
993	3.727327363
994	3.726144374
995	3.723919376
996	3.722526543
997	3.720632947
998	3.717630972
999	3.715770971
