1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Flexural strength
421.9,52.5,1,0,0.0,0.0,0.0,17.6,263.7,1273.4,0,2.0,175.9,175.8,43.9,0.0,0,0,2.5,0.2,13,3,40,160,9.886594295
417.5,52.5,1,0,0.0,0.0,0.0,22.0,263.7,1273.4,0,2.0,175.9,175.8,43.9,0.0,0,0,2.5,0.2,13,3,40,160,9.689033019
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0,2.0,0.0,202.1,45.9,0.0,0,0,0.0,0.2,13,7,40,160,17.14918056
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0,2.0,0.0,202.1,45.9,0.0,0,0,0.0,0.2,13,7,40,160,10.81520759
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0,2.0,175.0,202.1,45.9,0.0,0,0,0.0,0.2,13,7,40,160,14.03519145
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0,2.0,0.0,202.1,45.9,0.0,0,0,0.5,0.2,13,7,40,160,17.25273429
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0,2.0,0.0,202.1,45.9,0.0,0,0,0.5,0.2,13,7,40,160,11.20669383
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0,2.0,175.0,202.1,45.9,0.0,0,0,0.5,0.2,13,7,40,160,14.4842859
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0,2.0,0.0,202.1,45.9,0.0,0,0,1.0,0.2,13,7,40,160,18.10459794
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0,2.0,0.0,202.1,45.9,0.0,0,0,1.0,0.2,13,7,40,160,11.65551706
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0,2.0,175.0,202.1,45.9,0.0,0,0,1.0,0.2,13,7,40,160,14.87544667
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0,2.0,0.0,202.1,45.9,0.0,0,0,1.5,0.2,13,7,40,160,18.4959757
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0,2.0,0.0,202.1,45.9,0.0,0,0,1.5,0.2,13,7,40,160,14.11878301
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0,2.0,175.0,202.1,45.9,0.0,0,0,1.5,0.2,13,7,40,160,15.89991795
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0,2.0,0.0,202.1,45.9,0.0,0,0,2.0,0.2,13,7,40,160,21.99526712
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0,2.0,0.0,202.1,45.9,0.0,0,0,2.0,0.2,13,7,40,160,17.04248062
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0,2.0,175.0,202.1,45.9,0.0,0,0,2.0,0.2,13,7,40,160,19.05388564
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0,2.0,0.0,202.1,45.9,0.0,0,0,2.5,0.2,13,7,40,160,27.68133768
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0,2.0,0.0,202.1,45.9,0.0,0,0,2.5,0.2,13,7,40,160,22.55610629
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0,2.0,175.0,202.1,45.9,0.0,0,0,2.5,0.2,13,7,40,160,23.87680958
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0,2.0,0.0,202.1,45.9,0.0,0,0,0.0,0.2,13,28,40,160,18.18368717
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0,2.0,0.0,202.1,45.9,0.0,0,0,0.0,0.2,13,28,40,160,11.79216024
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0,2.0,175.0,202.1,45.9,0.0,0,0,0.0,0.2,13,28,40,160,16.68115461
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0,2.0,0.0,202.1,45.9,0.0,0,0,0.5,0.2,13,28,40,160,19.66848161
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0,2.0,0.0,202.1,45.9,0.0,0,0,0.5,0.2,13,28,40,160,12.24103771
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0,2.0,175.0,202.1,45.9,0.0,0,0,0.5,0.2,13,28,40,160,17.36030214
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0,2.0,0.0,202.1,45.9,0.0,0,0,1.0,0.2,13,28,40,160,21.61397894
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0,2.0,0.0,202.1,45.9,0.0,0,0,1.0,0.2,13,28,40,160,13.15045532
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0,2.0,175.0,202.1,45.9,0.0,0,0,1.0,0.2,13,28,40,160,19.19036609
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0,2.0,0.0,202.1,45.9,0.0,0,0,1.5,0.2,13,28,40,160,24.13479885
