1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Compressive strength
430.7,52.5,1,0,0.0,0.0,0.0,8.8,263.7,1273.4,0.0,2.0,175.9,175.8,43.9,0.0,0,0,2.5,0.2,13,3,40.0,160.0,55.2
426.3,52.5,1,0,0.0,0.0,0.0,13.2,263.7,1273.4,0.0,2.0,175.9,175.8,43.9,0.0,0,0,2.5,0.2,13,3,40.0,160.0,56.97
421.9,52.5,1,0,0.0,0.0,0.0,17.6,263.7,1273.4,0.0,2.0,175.9,175.8,43.9,0.0,0,0,2.5,0.2,13,3,40.0,160.0,57.38
417.5,52.5,1,0,0.0,0.0,0.0,22.0,263.7,1273.4,0.0,2.0,175.9,175.8,43.9,0.0,0,0,2.5,0.2,13,3,40.0,160.0,55.82
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,0.0,0.2,13,7,40.0,160.0,85.89
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,0.0,0.2,13,7,40.0,160.0,78.4
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,175.0,202.1,45.9,0.0,0,0,0.0,0.2,13,7,40.0,160.0,85.92
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,0.5,0.2,13,7,40.0,160.0,106.67
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,0.5,0.2,13,7,40.0,160.0,89.86
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,175.0,202.1,45.9,0.0,0,0,0.5,0.2,13,7,40.0,160.0,99.18
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,1.0,0.2,13,7,40.0,160.0,108.82
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,1.0,0.2,13,7,40.0,160.0,93.21
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,175.0,202.1,45.9,0.0,0,0,1.0,0.2,13,7,40.0,160.0,102.54
