1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,Flowability
582.1,52.5,1,0,259.9,0.0,0.0,24.3,0.0,1256.1,0.0,2.0,0.0,173.2,43.3,0.0,0,0,0.0,0.0,0,6.28873687
591.9,52.5,1,0,264.3,0.0,0.0,24.7,0.0,1277.2,0.0,2.0,0.0,159.3,44.0,0.0,0,0,0.0,0.0,0,8.947638805
600.0,52.5,1,0,267.9,0.0,0.0,25.0,0.0,1294.6,0.0,2.0,0.0,147.8,44.6,0.0,0,0,0.0,0.0,0,11.26478299
596.1,52.5,1,0,0.0,266.1,0.0,24.8,0.0,1286.3,0.0,2.0,0.0,177.4,44.4,0.0,0,0,0.0,0.0,0,4.500902529
606.4,52.5,1,0,0.0,270.7,0.0,25.3,0.0,1308.5,0.0,2.0,0.0,163.2,45.1,0.0,0,0,0.0,0.0,0,6.827586707
614.9,52.5,1,0,0.0,274.5,0.0,25.6,0.0,1326.8,0.0,2.0,0.0,151.5,45.8,0.0,0,0,0.0,0.0,0,9.877657145
592.6,52.5,1,0,0.0,0.0,0.0,24.7,264.6,1278.8,0.0,2.0,0.0,176.4,44.1,0.0,0,0,0.0,0.0,0,6.034839804
602.8,52.5,1,0,0.0,0.0,0.0,25.1,269.1,1300.8,0.0,2.0,0.0,162.2,44.9,0.0,0,0,0.0,0.0,0,8.009747799
611.2,52.5,1,0,0.0,0.0,0.0,25.5,272.9,1318.8,0.0,2.0,0.0,150.6,45.5,0.0,0,0,0.0,0.0,0,10.74710091
868.8,52.5,1,1,0.0,0.0,0.0,25.0,0.0,1295.9,0.0,0.6,0.0,178.8,44.7,0.0,0,0,0.0,0.0,0,9.6
883.9,52.5,1,1,0.0,0.0,0.0,25.5,0.0,1318.5,0.0,0.6,0.0,164.4,45.5,0.0,0,0,0.0,0.0,0,6.3
896.3,52.5,2,1,0.0,0.0,0.0,25.8,0.0,1337.1,0.0,0.5,0.0,152.7,46.1,0.0,0,0,0.0,0.0,0,3.9
439.5,52.5,1,0,0.0,0.0,0.0,0.0,263.7,1273.4,0.0,2.0,175.9,175.8,43.9,0.0,0,0,2.5,0.2,13,10.56
435.1,52.5,1,0,0.0,0.0,0.0,4.4,263.7,1273.4,0.0,2.0,175.9,175.8,43.9,0.0,0,0,2.5,0.2,13,10.2
430.7,52.5,1,0,0.0,0.0,0.0,8.8,263.7,1273.4,0.0,2.0,175.9,175.8,43.9,0.0,0,0,2.5,0.2,13,9.24
426.3,52.5,1,0,0.0,0.0,0.0,13.2,263.7,1273.4,0.0,2.0,175.9,175.8,43.9,0.0,0,0,2.5,0.2,13,7.41
421.9,52.5,1,0,0.0,0.0,0.0,17.6,263.7,1273.4,0.0,2.0,175.9,175.8,43.9,0.0,0,0,2.5,0.2,13,5.25
417.5,52.5,1,0,0.0,0.0,0.0,22.0,263.7,1273.4,0.0,2.0,175.9,175.8,43.9,0.0,0,0,2.5,0.2,13,3.84
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,0.0,0.2,13,1.928
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,0.0,0.2,13,5.174
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,175.0,202.1,45.9,0.0,0,0,0.0,0.2,13,2.661
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,0.5,0.2,13,1.668
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,0.5,0.2,13,4.363
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,175.0,202.1,45.9,0.0,0,0,0.5,0.2,13,2.2975
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,1.0,0.2,13,1.408
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,1.0,0.2,13,3.552
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,175.0,202.1,45.9,0.0,0,0,1.0,0.2,13,1.934
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,1.5,0.2,13,1.148
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,1.5,0.2,13,2.741
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,175.0,202.1,45.9,0.0,0,0,1.5,0.2,13,1.5705
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,2.0,0.2,13,0.888
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,2.0,0.2,13,1.93
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,175.0,202.1,45.9,0.0,0,0,2.0,0.2,13,1.207
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,2.5,0.2,13,0.628
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0,0,2.5,0.2,13,1.119
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,175.0,202.1,45.9,0.0,0,0,2.5,0.2,13,0.8435
809.0,42.5,1,1,0.0,0.0,270.0,0.0,0.0,1079.0,0.0,2.36,0.0,177.0,21.6,0.0,0,0,0.0,0.2,13,3.6225
800.0,42.5,1,1,0.0,0.0,267.0,0.0,0.0,1067.0,0.0,2.36,0.0,175.0,21.3,0.0,0,0,1.0,0.2,13,2.3489
792.0,42.5,1,1,0.0,0.0,264.0,0.0,0.0,1056.0,0.0,2.36,0.0,173.0,21.1,0.0,0,0,2.0,0.2,13,1.7556
784.0,42.5,1,1,0.0,0.0,261.0,0.0,0.0,1045.0,0.0,2.36,0.0,171.0,20.9,0.0,0,0,3.0,0.2,13,1.0164
472.0,42.5,1,1,0.0,315.0,262.0,0.0,0.0,1049.0,0.0,2.36,0.0,178.0,21.0,0.0,0,0,0.0,0.0,0,5.1009
472.0,42.5,1,1,0.0,315.0,262.0,0.0,0.0,1049.0,0.0,2.36,0.0,178.0,21.0,0.0,0,0,2.0,0.2,6,4.1984
472.0,42.5,1,1,0.0,315.0,262.0,0.0,0.0,1049.0,0.0,2.36,0.0,178.0,21.0,0.0,0,0,2.0,0.2,8,4.5696
472.0,42.5,1,1,0.0,315.0,262.0,0.0,0.0,1049.0,0.0,2.36,0.0,178.0,21.0,0.0,0,0,2.0,0.2,10,4.8564
472.0,42.5,1,1,0.0,315.0,262.0,0.0,0.0,1049.0,0.0,2.36,0.0,178.0,21.0,0.0,0,0,2.0,0.2,11,4.9049
472.0,42.5,1,1,0.0,315.0,262.0,0.0,0.0,1049.0,0.0,2.36,0.0,178.0,21.0,0.0,0,0,2.0,0.2,13,4.1076
