1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Compressive strength,Flexural strength,_merge
435.1,52.5,1.0,0.0,0.0,0.0,0.0,4.4,263.7,1273.4,0.0,2.0,175.9,175.8,43.9,0.0,0.0,0.0,2.5,0.2,13.0,7.0,40.0,160.0,63.69,10.33291823,both
430.7,52.5,1.0,0.0,0.0,0.0,0.0,8.8,263.7,1273.4,0.0,2.0,175.9,175.8,43.9,0.0,0.0,0.0,2.5,0.2,13.0,7.0,40.0,160.0,65.71,11.90973169,both
426.3,52.5,1.0,0.0,0.0,0.0,0.0,13.2,263.7,1273.4,0.0,2.0,175.9,175.8,43.9,0.0,0.0,0.0,2.5,0.2,13.0,7.0,40.0,160.0,68.96,12.26098814,both
421.9,52.5,1.0,0.0,0.0,0.0,0.0,17.6,263.7,1273.4,0.0,2.0,175.9,175.8,43.9,0.0,0.0,0.0,2.5,0.2,13.0,7.0,40.0,160.0,69.38,12.74023896,both
417.5,52.5,1.0,0.0,0.0,0.0,0.0,22.0,263.7,1273.4,0.0,2.0,175.9,175.8,43.9,0.0,0.0,0.0,2.5,0.2,13.0,7.0,40.0,160.0,65.46,11.57316402,both
439.5,52.5,1.0,0.0,0.0,0.0,0.0,0.0,263.7,1273.4,0.0,2.0,175.9,175.8,43.9,0.0,0.0,0.0,2.5,0.2,13.0,3.0,40.0,160.0,49.43,6.780473821,both
435.1,52.5,1.0,0.0,0.0,0.0,0.0,4.4,263.7,1273.4,0.0,2.0,175.9,175.8,43.9,0.0,0.0,0.0,2.5,0.2,13.0,3.0,40.0,160.0,51.08,8.412165411,both
430.7,52.5,1.0,0.0,0.0,0.0,0.0,8.8,263.7,1273.4,0.0,2.0,175.9,175.8,43.9,0.0,0.0,0.0,2.5,0.2,13.0,3.0,40.0,160.0,55.2,9.257325048,both
426.3,52.5,1.0,0.0,0.0,0.0,0.0,13.2,263.7,1273.4,0.0,2.0,175.9,175.8,43.9,0.0,0.0,0.0,2.5,0.2,13.0,3.0,40.0,160.0,56.97,9.882917551,both
421.9,52.5,1.0,0.0,0.0,0.0,0.0,17.6,263.7,1273.4,0.0,2.0,175.9,175.8,43.9,0.0,0.0,0.0,2.5,0.2,13.0,3.0,40.0,160.0,57.38,9.886594295,both
417.5,52.5,1.0,0.0,0.0,0.0,0.0,22.0,263.7,1273.4,0.0,2.0,175.9,175.8,43.9,0.0,0.0,0.0,2.5,0.2,13.0,3.0,40.0,160.0,55.82,9.689033019,both
874.9,52.5,1.0,0.0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0.0,0.0,0.0,0.2,13.0,7.0,40.0,160.0,85.89,17.14918056,both
612.4,52.5,1.0,0.0,0.0,0.0,44.0,43.7,262.5,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0.0,0.0,0.0,0.2,13.0,7.0,40.0,160.0,78.4,10.81520759,both
699.0,52.5,1.0,0.0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,175.0,202.1,45.9,0.0,0.0,0.0,0.0,0.2,13.0,7.0,40.0,160.0,85.92,14.03519145,both
874.9,52.5,1.0,0.0,0.0,0.0,44.0,43.7,0.0,1273.4,0.0,2.0,0.0,202.1,45.9,0.0,0.0,0.0,0.5,0.2,13.0,7.0,40.0,160.0,106.67,17.25273429,both
