1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Porosity
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0,2.0,0.0,202.1,45.9,0.0,0,0,2.0,0.2,13,28,10.81
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0,2.0,0.0,202.1,45.9,0.0,0,0,2.0,0.2,13,28,10.74
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0,2.0,175.0,202.1,45.9,0.0,0,0,2.0,0.2,13,28,10.54
874.9,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0,2.0,0.0,202.1,45.9,0.0,0,0,2.5,0.2,13,28,11.05
612.4,52.5,1,0,0.0,0.0,44.0,43.7,262.5,1273.4,0,2.0,0.0,202.1,45.9,0.0,0,0,2.5,0.2,13,28,10.97
699.0,52.5,1,0,0.0,0.0,44.0,43.7,0.0,1273.4,0,2.0,175.0,202.1,45.9,0.0,0,0,2.5,0.2,13,28,10.83
950.0,52.5,1,0,0.0,0.0,255.0,0.0,0.0,873.0,0,0.6,0.0,189.0,31.0,0.0,0,0,2.5,0.2,13,28,6.35
941.5,52.5,1,0,0.0,0.0,255.0,9.5,0.0,873.0,0,0.6,0.0,189.0,31.0,0.0,0,0,2.5,0.2,13,28,4.74
932.0,52.5,1,0,0.0,0.0,255.0,19.0,0.0,873.0,0,0.6,0.0,189.0,31.0,0.0,0,0,2.5,0.2,13,28,4.66
921.5,52.5,1,0,0.0,0.0,255.0,28.5,0.0,873.0,0,0.6,0.0,189.0,31.0,0.0,0,0,2.5,0.2,13,28,4.3
912.0,52.5,1,0,0.0,0.0,255.0,38.0,0.0,873.0,0,0.6,0.0,189.0,31.0,0.0,0,0,2.5,0.2,13,28,4.8
612.4,52.5,1,0,0.0,0.0,0.0,0.0,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.0,0,0,0.0,0.2,13,28,16.7
612.4,52.5,1,0,0.0,0.0,0.0,0.0,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.1,15,8,0.0,0.2,13,28,16.7
612.4,52.5,1,0,0.0,0.0,0.0,0.0,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.2,15,8,0.0,0.2,13,28,16.8
612.4,52.5,1,0,0.0,0.0,0.0,0.0,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.3,15,8,0.0,0.2,13,28,16.8
612.4,52.5,1,0,0.0,0.0,0.0,0.0,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.4,15,8,0.0,0.2,13,28,16.9
600.2,52.5,1,0,0.0,0.0,0.0,12.2,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.0,0,0,0.0,0.2,13,28,16.6
600.2,52.5,1,0,0.0,0.0,0.0,12.2,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.1,15,8,0.0,0.2,13,28,16.7
600.2,52.5,1,0,0.0,0.0,0.0,12.2,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.2,15,8,0.0,0.2,13,28,16.75
600.2,52.5,1,0,0.0,0.0,0.0,12.2,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.3,15,8,0.0,0.2,13,28,16.8
600.2,52.5,1,0,0.0,0.0,0.0,12.2,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.4,15,8,0.0,0.2,13,28,16.9
588.0,52.5,1,0,0.0,0.0,0.0,24.4,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.0,0,0,0.0,0.2,13,28,17.4
588.0,52.5,1,0,0.0,0.0,0.0,24.4,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.1,15,8,0.0,0.2,13,28,17.44
588.0,52.5,1,0,0.0,0.0,0.0,24.4,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.2,15,8,0.0,0.2,13,28,17.48
588.0,52.5,1,0,0.0,0.0,0.0,24.4,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.3,15,8,0.0,0.2,13,28,17.52
588.0,52.5,1,0,0.0,0.0,0.0,24.4,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.4,15,8,0.0,0.2,13,28,17.66
612.4,52.5,1,0,0.0,0.0,0.0,0.0,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.0,0,0,2.0,0.2,13,28,17.1
612.4,52.5,1,0,0.0,0.0,0.0,0.0,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.1,15,8,2.0,0.2,13,28,17.15
612.4,52.5,1,0,0.0,0.0,0.0,0.0,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.2,15,8,2.0,0.2,13,28,17.2
612.4,52.5,1,0,0.0,0.0,0.0,0.0,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.3,15,8,2.0,0.2,13,28,17.25
612.4,52.5,1,0,0.0,0.0,0.0,0.0,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.4,15,8,2.0,0.2,13,28,17.3
600.2,52.5,1,0,0.0,0.0,0.0,12.2,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.0,0,0,2.0,0.2,13,28,17.2
600.2,52.5,1,0,0.0,0.0,0.0,12.2,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.1,15,8,2.0,0.2,13,28,17.25
600.2,52.5,1,0,0.0,0.0,0.0,12.2,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.2,15,8,2.0,0.2,13,28,17.3
600.2,52.5,1,0,0.0,0.0,0.0,12.2,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.3,15,8,2.0,0.2,13,28,17.35
600.2,52.5,1,0,0.0,0.0,0.0,12.2,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.4,15,8,2.0,0.2,13,28,17.4
588.0,52.5,1,0,0.0,0.0,0.0,24.4,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.0,0,0,2.0,0.2,13,28,17.15
588.0,52.5,1,0,0.0,0.0,0.0,24.4,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.1,15,8,2.0,0.2,13,28,17.2
588.0,52.5,1,0,0.0,0.0,0.0,24.4,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.2,15,8,2.0,0.2,13,28,17.25
588.0,52.5,1,0,0.0,0.0,0.0,24.4,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.3,15,8,2.0,0.2,13,28,17.3
588.0,52.5,1,0,0.0,0.0,0.0,24.4,262.5,1168.7,58,2.0,0.0,201.2,45.9,0.4,15,8,2.0,0.2,13,28,17.35
670.5,52.5,1,1,0.0,0.0,74.5,0.0,0.0,500.0,990,16.0,0.0,178.0,20.0,0.0,25,12,0.0,0.0,0,28,4.3
670.5,52.5,1,1,0.0,0.0,74.5,0.0,0.0,500.0,990,16.0,0.0,178.0,20.0,0.5,25,12,0.0,0.0,0,28,4.7
670.5,52.5,1,1,0.0,0.0,74.5,0.0,0.0,500.0,990,16.0,0.0,178.0,20.0,1.0,25,12,0.0,0.0,0,28,4.0
670.5,52.5,1,1,0.0,0.0,74.5,0.0,0.0,500.0,990,16.0,0.0,178.0,20.0,1.5,25,12,0.0,0.0,0,28,3.9
670.5,52.5,1,1,0.0,0.0,74.5,0.0,0.0,500.0,990,16.0,0.0,178.0,20.0,2.0,25,12,0.0,0.0,0,28,3.8
670.5,52.5,1,1,0.0,0.0,74.5,0.0,0.0,500.0,990,16.0,0.0,178.0,20.0,0.0,0,0,0.5,1.0,50,28,4.6
670.5,52.5,1,1,0.0,0.0,74.5,0.0,0.0,500.0,990,16.0,0.0,178.0,20.0,0.0,0,0,1.0,1.0,50,28,5.1
670.5,52.5,1,1,0.0,0.0,74.5,0.0,0.0,500.0,990,16.0,0.0,178.0,20.0,0.0,0,0,1.5,1.0,50,28,5.5
670.5,52.5,1,1,0.0,0.0,74.5,0.0,0.0,500.0,990,16.0,0.0,178.0,20.0,0.0,0,0,2.0,1.0,50,28,5.7
863.0,42.5,1,1,0.0,0.0,216.0,0.0,0.0,1000.0,79,2.36,0.0,177.0,21.6,0.0,0,0,2.0,0.2,13,1,17.5
863.0,42.5,1,1,0.0,0.0,216.0,0.0,0.0,1000.0,79,2.36,0.0,177.0,21.6,0.0,0,0,2.0,0.2,13,3,11.0
863.0,42.5,1,1,0.0,0.0,216.0,0.0,0.0,1000.0,79,2.36,0.0,177.0,21.6,0.0,0,0,2.0,0.2,13,7,9.0
863.0,42.5,1,1,0.0,0.0,216.0,0.0,0.0,1000.0,79,2.36,0.0,177.0,21.6,0.0,0,0,2.0,0.2,13,28,6.0
863.0,42.5,1,1,0.0,0.0,216.0,0.0,0.0,1000.0,79,2.36,0.0,177.0,21.6,0.0,0,0,2.0,0.2,13,91,5.9
1251.2,52.5,1,1,0.0,0.0,291.3,0.0,0.0,407.8,0,1.0,0.0,201.4,28.2,0.0,0,0,0.0,0.0,0,1,23.5
1251.2,52.5,1,1,0.0,0.0,291.3,0.0,0.0,407.8,0,1.0,0.0,201.4,28.2,0.0,0,0,0.0,0.0,0,3,13.6
