slab_id,b,h,d,E,nu,rho,sdl,ll,llred,mesh,angle,sx1,sy1,sx2,sy2,sx3,sy3,sx4,sy4,dl_load,sdl_load,ll_load,llred_load,dl_reaction,sdl_reaction,ll_reaction,llred_reaction
slab_000,6619,8912,180,34074,0.19,2457,-0.9,-4.64,-2.89,1000,0,1323,1782,5295,1782,1323,7129,5295,7129,-255.936,-53.12,-273.728,-170.432,255.937,53.12,273.728,170.432
slab_001,6418,11456,180,28244,0.18,2459,-0.65,-4.91,-2.26,1000,90,1283,2291,5134,2291,1283,9164,5134,9164,-319.2,-47.824,-360.984,-166.16,319.2,47.824,360.984,166.16
slab_002,6232,11436,200,31679,0.2,2401,-0.47,-4.44,-2.34,750,0,1246,2287,4985,2287,1246,9148,4985,9148,-335.732,-33.376,-316.556,-166.68,335.732,33.376,316.557,166.68
slab_003,4881,15841,220,28837,0.18,2424,-0.75,-3.8,-1.82,500,90,976,3168,3904,3168,976,12672,3904,12672,-404.4,-57.52,-293.76,-141.136,404.4,57.52,293.76,141.136
slab_004,5881,12392,180,35971,0.22,2420,-0.61,-2.1,-1.23,750,90,1176,2478,4704,2478,1176,9913,4704,9913,-311.264,-44.608,-152.968,-89.496,311.264,44.608,152.968,89.496
slab_005,4787,13771,180,28375,0.21,2597,-0.8,-4.72,-2.22,500,45,957,2754,3829,2754,957,11016,3829,11016,-302.52,-53.08,-311.156,-146.28,302.52,53.08,311.156,146.28
slab_006,5138,11714,220,29332,0.19,2453,-0.53,-2.54,-1.54,500,90,1027,2342,4110,2342,1027,9371,4110,9371,-318.46,-31.5,-152.9,-92.5,318.459,31.5,152.9,92.5
slab_007,6600,9401,200,29338,0.2,2469,-0.31,-2.76,-1.57,1000,45,1320,1880,5280,1880,1320,7520,5280,7520,-300.544,-19.2,-171.2,-97.44,300.544,19.2,171.2,97.44
slab_008,7452,14294,180,29876,0.21,2480,-0.72,-4.77,-3.21,1000,90,1490,2858,5961,2858,1490,11435,5961,11435,-466.492,-76.62,-508.056,-342.0,466.492,76.62,508.055,342.0
slab_009,5288,9741,250,31241,0.22,2564,-0.68,-4.07,-1.93,1000,90,1057,1948,4230,1948,1057,7792,4230,7792,-323.936,-35.04,-209.648,-99.44,323.936,35.04,209.648,99.44
slab_010,5076,14119,250,35354,0.2,2492,-0.85,-1.51,-0.83,500,0,1015,2823,4060,2823,1015,11295,4060,11295,-438.016,-60.964,-108.296,-59.316,438.017,60.964,108.296,59.316
slab_011,7527,8898,200,33140,0.19,2574,-0.7,-4.78,-2.46,750,90,1505,1779,6021,1779,1505,7118,6021,7118,-338.34,-46.872,-320.008,-164.748,338.34,46.872,320.007,164.747
slab_012,5029,15955,180,33572,0.21,2574,-0.38,-2.37,-1.49,750,0,1005,3191,4023,3191,1005,12764,4023,12764,-364.684,-30.4,-189.932,-119.584,364.684,30.4,189.932,119.584
slab_013,5202,11561,200,31716,0.18,2584,-0.39,-4.08,-2.24,500,90,1040,2312,4161,2312,1040,9248,4161,9248,-304.808,-23.776,-245.14,-134.784,304.808,23.776,245.14,134.785
slab_014,7738,8871,220,34894,0.21,2555,-0.86,-3.69,-1.65,1000,0,1547,1774,6190,1774,1547,7096,6190,7096,-378.416,-59.08,-253.296,-113.28,378.416,59.08,253.296,113.28
slab_015,6453,10655,250,28159,0.18,2492,-0.38,-2.09,-1.03,500,0,1290,2131,5162,2131,1290,8524,5162,8524,-420.168,-26.288,-143.652,-70.512,420.168,26.288,143.651,70.512
slab_016,7596,12647,180,28701,0.21,2417,-0.32,-3.14,-1.37,1000,45,1519,2529,6076,2529,1519,10117,6076,10117,-409.968,-30.68,-301.736,-131.584,409.968,30.68,301.736,131.584
slab_017,7878,12503,200,30171,0.2,2555,-0.7,-4.26,-2.39,1000,90,1575,2500,6302,2500,1575,10002,6302,10002,-493.764,-68.912,-419.576,-235.472,493.764,68.912,419.576,235.472
slab_018,4823,13840,220,31268,0.22,2566,-0.74,-1.85,-0.99,500,0,964,2768,3858,2768,964,11072,3858,11072,-369.52,-49.6,-123.56,-65.84,369.52,49.6,123.56,65.84
