slab_id,b,h,d,E,nu,rho,sdl,ll,llred,mesh,angle,sx1,sy1,sx2,sy2,sx3,sy3,sx4,sy4,dl_load,sdl_load,ll_load,llred_load,dl_reaction,sdl_reaction,ll_reaction,llred_reaction
slab_000,5673,12260,180,29447,0.2,2474,-0.98,-4.59,-1.85,500,90,1134,2452,4538,2452,1134,9808,4538,9808,-303.5,-67.6,-319.6,-128.6,303.5,67.6,319.6,128.6
slab_001,6821,10482,250,32841,0.2,2576,-0.53,-3.75,-1.88,750,90,1364,2096,5456,2096,1364,8385,5456,8385,-451.8,-37.8,-268.2,-134.4,451.8,37.8,268.2,134.4
slab_002,4651,8917,180,32821,0.18,2480,-0.92,-2.81,-1.94,500,45,930,1783,3720,1783,930,7133,3720,7133,-181.728,-38.24,-116.68,-80.688,181.728,38.24,116.68,80.688
slab_003,5580,8784,250,31900,0.22,2448,-0.91,-2.39,-1.51,500,90,1116,1756,4464,1756,1116,7027,4464,7027,-294.28,-44.696,-117.336,-74.056,294.28,44.696,117.337,74.056
slab_004,7934,14690,250,33815,0.18,2582,-0.51,-2.04,-1.31,750,45,1586,2938,6347,2938,1586,11752,6347,11752,-738.16,-59.84,-237.84,-152.8,738.16,59.84,237.84,152.8
slab_005,6582,11716,200,29910,0.2,2588,-0.52,-3.79,-2.45,1000,0,1316,2343,5265,2343,1316,9372,5265,9372,-391.54,-40.096,-292.296,-188.844,391.539,40.096,292.297,188.843
slab_006,5138,9288,180,29828,0.22,2548,-0.47,-2.74,-1.54,750,90,1027,1857,4110,1857,1027,7430,4110,7430,-214.708,-22.328,-130.708,-73.44,214.708,22.328,130.708,73.439
slab_007,4815,11313,180,30956,0.19,2457,-0.58,-4.79,-2.54,500,90,963,2262,3852,2262,963,9050,3852,9050,-236.08,-31.84,-261.16,-138.08,236.08,31.84,261.16,138.08
slab_008,6552,11882,180,29168,0.19,2564,-0.49,-4.98,-2.96,1000,0,1310,2376,5241,2376,1310,9505,5241,9505,-352.432,-38.12,-387.664,-230.4,352.432,38.12,387.664,230.4
slab_009,5114,8609,180,31565,0.19,2576,-0.63,-2.63,-1.73,500,45,1022,1721,4091,1721,1022,6887,4091,6887,-200.272,-27.592,-115.56,-76.092,200.272,27.592,115.56,76.092
slab_010,5978,15871,220,35975,0.18,2531,-0.47,-2.24,-1.12,750,0,1195,3174,4782,3174,1195,12696,4782,12696,-518.356,-44.728,-212.4,-106.356,518.355,44.728,212.4,106.356
slab_011,5163,12023,220,31286,0.2,2540,-0.38,-3.43,-1.7,500,0,1032,2404,4130,2404,1032,9618,4130,9618,-340.6,-23.6,-213.084,-105.028,340.6,23.6,213.084,105.028
slab_012,6692,9084,180,35583,0.2,2566,-0.76,-3.45,-1.66,1000,0,1338,1816,5353,1816,1338,7267,5353,7267,-275.36,-46.28,-209.704,-100.92,275.36,46.28,209.704,100.92
slab_013,5141,14108,220,29991,0.18,2459,-0.61,-4.74,-2.28,750,90,1028,2821,4112,2821,1028,11286,4112,11286,-384.856,-44.0,-343.94,-165.44,384.857,44.0,343.94,165.44
slab_014,4571,15731,250,30048,0.19,2552,-0.74,-4.6,-3.17,750,0,914,3146,3656,3146,914,12584,3656,12584,-450.128,-53.104,-330.752,-227.856,450.127,53.104,330.752,227.856
slab_015,7724,8039,180,35494,0.22,2562,-0.52,-2.19,-1.13,1000,90,1544,1607,6179,1607,1544,6431,6179,6431,-280.928,-32.304,-136.04,-70.18,280.928,32.304,136.04,70.18
slab_016,7900,13625,250,29799,0.19,2577,-0.9,-1.51,-0.76,500,90,1580,2725,6320,2725,1580,10900,6320,10900,-679.872,-96.472,-162.64,-81.56,679.872,96.472,162.64,81.56
slab_017,6855,9735,200,29364,0.19,2404,-0.95,-4.67,-2.62,500,90,1371,1947,5484,1947,1371,7788,5484,7788,-314.4,-63.6,-311.94,-175.2,314.4,63.6,311.94,175.2
slab_018,7608,10524,250,29050,0.19,2561,-0.89,-2.83,-1.19,1000,90,1521,2104,6086,2104,1521,8419,6086,8419,-502.84,-71.28,-226.62,-95.292,502.84,71.28,226.62,95.292
slab_019,7838,10611,220,28133,0.18,2452,-0.92,-4.94,-2.09,1000,0,1567,2122,6270,2122,1567,8488,6270,8488,-440.188,-76.572,-410.852,-173.9,440.187,76.571,410.852,173.9
slab_020,7513,15262,200,35341,0.2,2469,-0.38,-2.11,-1.0,750,0,1502,3052,6010,3052,1502,12209,6010,12209,-555.14,-43.52,-241.628,-114.268,555.14,43.52,241.628,114.268
slab_021,5227,10157,250,34294,0.21,2568,-0.34,-3.32,-1.61,750,45,1045,2031,4181,2031,1045,8125,4181,8125,-334.476,-18.0,-176.24,-85.5,334.477,18.0,176.24,85.5
slab_022,5158,14463,220,33642,0.2,2513,-0.65,-3.68,-1.98,1000,45,1031,2892,4126,2892,1031,11570,4126,11570,-404.648,-48.48,-274.464,-147.6,404.648,48.48,274.464,147.6
slab_023,6391,9583,220,34855,0.19,2564,-0.46,-3.79,-1.93,750,45,1278,1916,5112,1916,1278,7666,5112,7666,-338.864,-28.24,-232.136,-118.288,338.864,28.24,232.136,118.289
slab_024,5253,8270,220,32414,0.22,2511,-0.93,-4.19,-2.35,500,0,1050,1654,4202,1654,1050,6616,4202,6616,-235.36,-40.32,-182.064,-101.896,235.36,40.32,182.064,101.896
slab_025,7168,13226,200,33444,0.21,2568,-0.5,-1.94,-0.97,750,0,1433,2645,5734,2645,1433,10580,5734,10580,-477.6,-47.48,-184.04,-91.8,477.601,47.48,184.04,91.8
slab_026,6346,12844,180,30394,0.19,2456,-0.47,-3.81,-2.29,750,0,1269,2568,5076,2568,1269,10275,5076,10275,-353.528,-38.24,-310.408,-186.448,353.529,38.24,310.408,186.449
slab_027,4244,14533,250,28397,0.22,2418,-0.78,-4.58,-2.44,500,0,848,2906,3395,2906,848,11626,3395,11626,-365.824,-48.0,-282.04,-150.032,365.824,48.0,282.04,150.032
slab_028,6174,8219,220,28632,0.22,2413,-0.96,-3.07,-1.88,750,90,1234,1643,4939,1643,1234,6575,4939,6575,-264.276,-48.564,-155.864,-95.332,264.276,48.564,155.864,95.332
slab_029,6032,8916,220,31678,0.19,2580,-0.63,-4.89,-1.97,500,90,1206,1783,4825,1783,1206,7132,4825,7132,-299.404,-34.072,-263.02,-105.6,299.404,34.072,263.021,105.6
slab_030,6285,13231,180,28925,0.22,2554,-0.46,-2.79,-1.6,750,90,1257,2646,5028,2646,1257,10584,5028,10584,-374.96,-38.24,-231.88,-132.8,374.96,38.24,231.88,132.8
slab_031,6836,8439,250,31956,0.22,2551,-0.64,-1.53,-0.71,500,90,1367,1687,5468,1687,1367,6751,5468,6751,-360.9,-37.32,-88.26,-40.74,360.9,37.32,88.26,40.74
slab_032,5552,8923,200,29701,0.18,2470,-0.8,-2.18,-1.48,750,0,1110,1784,4441,1784,1110,7138,4441,7138,-240.008,-39.528,-108.008,-73.36,240.007,39.528,108.009,73.359
slab_033,6534,12188,250,33702,0.2,2485,-0.86,-4.95,-3.01,750,0,1306,2437,5227,2437,1306,9750,5227,9750,-485.376,-68.72,-394.128,-239.856,485.376,68.72,394.129,239.856
slab_034,4056,11238,200,29611,0.19,2545,-0.78,-3.83,-2.51,500,45,811,2247,3244,2247,811,8990,3244,8990,-227.736,-35.752,-174.388,-114.392,227.736,35.752,174.389,114.393
slab_035,5336,11836,220,32816,0.19,2410,-0.66,-3.29,-1.91,500,45,1067,2367,4268,2367,1067,9468,4268,9468,-328.24,-42.0,-207.76,-120.16,328.24,42.0,207.76,120.16
slab_036,5255,9981,220,32648,0.2,2454,-0.68,-2.85,-1.98,750,45,1051,1996,4204,1996,1051,7984,4204,7984,-277.816,-35.56,-149.384,-103.968,277.816,35.56,149.384,103.968
slab_037,4979,12325,200,30668,0.19,2401,-0.98,-4.7,-3.26,1000,90,995,2465,3983,2465,995,9860,3983,9860,-289.064,-60.192,-288.504,-200.012,289.064,60.192,288.504,200.011
slab_038,4984,12963,200,33786,0.2,2451,-0.66,-1.79,-1.02,500,45,996,2592,3987,2592,996,10370,3987,10370,-310.592,-42.824,-115.232,-66.08,310.592,42.825,115.232,66.08
slab_039,5234,13195,250,31032,0.2,2495,-0.81,-1.56,-0.99,1000,45,1046,2639,4187,2639,1046,10556,4187,10556,-422.632,-55.904,-107.696,-68.32,422.631,55.904,107.696,68.32
slab_040,6135,8185,250,32509,0.21,2562,-0.37,-3.25,-1.96,500,0,1227,1637,4908,1637,1227,6548,4908,6548,-315.712,-18.512,-163.28,-98.336,315.712,18.512,163.28,98.336
slab_041,7668,9297,220,32017,0.21,2506,-0.98,-4.08,-1.72,750,45,1533,1859,6134,1859,1533,7437,6134,7437,-385.668,-69.824,-290.756,-122.488,385.668,69.824,290.755,122.488
slab_042,7845,13253,220,28095,0.19,2564,-0.49,-2.8,-1.34,500,45,1569,2650,6276,2650,1569,10602,6276,10602,-575.96,-50.912,-291.224,-139.072,575.96,50.912,291.224,139.072
slab_043,4123,8267,200,30874,0.2,2508,-0.8,-3.16,-2.05,500,45,824,1653,3298,1653,824,6613,3298,6613,-167.816,-27.272,-107.816,-69.936,167.816,27.272,107.816,69.936
slab_044,7812,14179,200,28948,0.22,2519,-0.73,-2.29,-1.38,500,45,1562,2835,6249,2835,1562,11343,6249,11343,-547.64,-80.64,-254.16,-152.64,547.64,80.64,254.16,152.64
slab_045,6890,14508,220,31185,0.21,2405,-0.89,-2.46,-1.34,1000,45,1378,2901,5512,2901,1378,11606,5512,11606,-518.94,-88.92,-246.0,-133.92,518.94,88.92,246.0,133.92
slab_046,4201,12725,200,32879,0.21,2472,-0.99,-3.2,-1.69,750,0,840,2545,3360,2545,840,10180,3360,10180,-259.176,-52.8,-171.088,-90.304,259.176,52.8,171.088,90.304
slab_047,6543,11713,180,33513,0.22,2479,-0.92,-1.79,-0.74,1000,0,1308,2342,5234,2342,1308,9370,5234,9370,-335.536,-70.416,-137.192,-56.752,335.536,70.416,137.192,56.752
slab_048,4195,13690,180,28373,0.19,2433,-0.82,-4.96,-2.49,500,90,839,2738,3356,2738,839,10952,3356,10952,-247.12,-47.28,-284.44,-142.8,247.12,47.28,284.44,142.8
slab_049,7815,9623,180,34134,0.2,2510,-0.38,-4.88,-2.13,750,45,1563,1924,6252,1924,1563,7698,6252,7698,-333.324,-28.712,-367.068,-160.072,333.324,28.712,367.067,160.072
slab_050,7375,12401,200,30961,0.19,2580,-0.43,-1.71,-0.73,500,0,1475,2480,5900,2480,1475,9920,5900,9920,-463.42,-39.0,-156.0,-67.24,463.42,39.0,156.0,67.241
slab_051,5646,9971,220,33638,0.19,2490,-0.52,-3.45,-2.24,750,0,1129,1994,4516,1994,1129,7976,4516,7976,-302.596,-29.384,-194.236,-126.104,302.596,29.384,194.236,126.104
slab_052,7080,11809,200,30994,0.2,2480,-0.9,-1.83,-1.13,500,0,1416,2361,5664,2361,1416,9447,5664,9447,-406.5,-75.0,-153.0,-94.5,406.5,75.0,153.0,94.5
slab_053,6276,13498,180,33392,0.21,2474,-0.59,-2.22,-1.54,750,0,1255,2699,5020,2699,1255,10798,5020,10798,-370.2,-49.816,-187.928,-130.48,370.201,49.817,187.928,130.48
slab_054,7062,8761,250,34918,0.22,2566,-0.84,-2.16,-1.23,1000,0,1412,1752,5649,1752,1412,7008,5649,7008,-389.416,-52.0,-133.64,-76.0,389.416,52.0,133.64,76.0
slab_055,7051,9297,200,31052,0.18,2599,-0.45,-1.9,-0.91,1000,45,1410,1859,5640,1859,1410,7437,5640,7437,-334.276,-29.48,-124.616,-59.64,334.275,29.48,124.615,59.64
slab_056,7967,13345,180,32941,0.21,2488,-0.42,-1.85,-1.29,500,0,1593,2669,6373,2669,1593,10676,6373,10676,-467.224,-45.056,-196.576,-137.628,467.224,45.056,196.576,137.628
slab_057,5179,13622,250,33101,0.22,2440,-0.92,-2.07,-0.99,1000,0,1035,2724,4143,2724,1035,10897,4143,10897,-422.232,-64.8,-145.928,-69.84,422.232,64.8,145.928,69.84
slab_058,7319,9880,200,35754,0.18,2506,-0.4,-3.63,-2.24,500,90,1463,1976,5855,1976,1463,7904,5855,7904,-355.2,-28.8,-262.8,-162.0,355.2,28.8,262.8,162.0
slab_059,4149,13192,200,28474,0.22,2501,-0.51,-2.38,-1.52,500,0,829,2638,3319,2638,829,10553,3319,10553,-268.684,-27.712,-130.312,-83.216,268.685,27.712,130.312,83.216
slab_060,5293,13081,180,34051,0.19,2447,-0.71,-2.49,-1.67,1000,45,1058,2616,4234,2616,1058,10464,4234,10464,-299.128,-49.12,-172.376,-115.648,299.128,49.12,172.376,115.648
slab_061,4594,8698,200,28288,0.2,2476,-0.59,-4.99,-2.62,750,45,918,1739,3675,1739,918,6958,3675,6958,-194.1,-23.576,-199.352,-104.7,194.1,23.576,199.352,104.7
slab_062,6350,11545,250,32448,0.22,2558,-0.73,-2.78,-1.59,1000,45,1270,2309,5080,2309,1270,9236,5080,9236,-459.952,-53.552,-203.872,-116.56,459.952,53.552,203.872,116.56
slab_063,4142,15874,250,28469,0.21,2502,-0.68,-3.29,-2.18,750,45,828,3174,3313,3174,828,12699,3313,12699,-403.368,-44.752,-216.108,-143.28,403.368,44.752,216.108,143.28
slab_064,5783,11349,200,33938,0.21,2583,-0.4,-1.9,-1.22,750,0,1156,2269,4626,2269,1156,9079,4626,9079,-332.704,-26.104,-124.608,-80.0,332.704,26.104,124.608,80.0
slab_065,7386,9697,200,29418,0.19,2531,-0.68,-2.77,-1.17,750,0,1477,1939,5908,1939,1477,7757,5908,7757,-355.768,-48.56,-198.48,-83.84,355.769,48.56,198.48,83.84
slab_066,6550,12195,220,32618,0.2,2499,-0.44,-1.82,-1.01,500,90,1310,2439,5240,2439,1310,9756,5240,9756,-430.6,-34.6,-145.4,-81.2,430.6,34.6,145.4,81.2
slab_067,4251,13822,200,32975,0.19,2500,-0.88,-2.14,-1.49,750,45,850,2764,3400,2764,850,11057,3400,11057,-288.152,-51.84,-125.76,-87.52,288.152,51.84,125.76,87.52
slab_068,4372,8190,180,29386,0.21,2472,-0.73,-1.83,-0.94,1000,45,874,1638,3497,1638,874,6552,3497,6552,-156.276,-26.18,-65.524,-33.64,156.276,26.18,65.524,33.64
slab_069,4797,13919,200,28904,0.19,2595,-0.72,-1.89,-1.22,500,45,959,2783,3837,2783,959,11135,3837,11135,-339.84,-47.76,-125.88,-81.6,339.84,47.76,125.88,81.6
slab_070,5939,14920,200,31772,0.2,2586,-0.45,-4.33,-2.51,750,90,1187,2984,4751,2984,1187,11936,4751,11936,-449.44,-40.0,-383.84,-222.56,449.44,40.0,383.84,222.56
slab_071,4276,11894,180,29852,0.2,2411,-0.69,-2.93,-1.91,1000,90,855,2378,3420,2378,855,9515,3420,9515,-216.544,-35.16,-149.032,-97.152,216.543,35.16,149.032,97.152
