slab_id,b,h,d,E,nu,rho,sdl,ll,llred,mesh,angle,sx1,sy1,sx2,sy2,sx3,sy3,sx4,sy4,dl_load,sdl_load,ll_load,llred_load,dl_reaction,sdl_reaction,ll_reaction,llred_reaction
slab_000,5560,10721,200,29360,0.22,2498,-0.6,-2.58,-1.46,750,90,1112,2144,4448,2144,1112,8576,4448,8576,-292.14,-35.98,-153.82,-87.0,292.14,35.98,153.82,87.0
slab_001,7126,12722,180,34399,0.19,2404,-0.69,-4.46,-1.98,1000,45,1425,2544,5700,2544,1425,10177,5700,10177,-384.852,-62.52,-404.412,-179.504,384.852,62.52,404.412,179.505
slab_002,4686,10109,180,28981,0.21,2408,-0.7,-4.01,-2.49,500,90,937,2021,3748,2021,937,8087,3748,8087,-201.224,-32.96,-189.88,-117.92,201.224,32.96,189.88,117.92
slab_003,5475,13999,250,29024,0.2,2404,-0.91,-1.8,-1.09,500,0,1095,2799,4380,2799,1095,11199,4380,11199,-452.136,-69.988,-137.964,-83.388,452.136,69.988,137.963,83.388
slab_004,5091,10603,200,33078,0.18,2547,-0.87,-1.89,-1.24,750,45,1018,2120,4072,2120,1018,8482,4072,8482,-269.668,-46.92,-102.0,-67.072,269.667,46.92,102.0,67.073
slab_005,4597,8874,180,31335,0.18,2568,-0.65,-3.62,-1.47,500,0,919,1774,3677,1774,919,7099,3677,7099,-184.8,-26.4,-147.66,-60.08,184.8,26.4,147.661,60.08
slab_006,5877,15747,250,31487,0.2,2471,-0.62,-1.92,-1.15,750,0,1175,3149,4701,3149,1175,12597,4701,12597,-560.936,-57.188,-177.68,-106.404,560.936,57.188,177.68,106.404
slab_007,4568,14612,180,33867,0.18,2574,-0.39,-2.37,-1.03,1000,90,913,2922,3654,2922,913,11689,3654,11689,-303.376,-26.1,-158.156,-68.7,303.375,26.1,158.156,68.7
slab_008,4522,15330,250,33369,0.21,2421,-0.57,-3.54,-2.32,500,0,904,3066,3617,3066,904,12264,3617,12264,-411.64,-39.24,-245.44,-160.92,411.64,39.24,245.44,160.92
slab_009,5791,10975,250,33570,0.21,2515,-0.94,-2.66,-1.5,1000,0,1158,2195,4632,2195,1158,8780,4632,8780,-392.072,-59.744,-169.096,-95.232,392.072,59.744,169.096,95.232
slab_010,5134,11090,220,34618,0.22,2497,-0.45,-3.97,-2.11,500,0,1026,2218,4107,2218,1026,8872,4107,8872,-306.848,-25.696,-226.244,-120.056,306.848,25.696,226.244,120.056
slab_011,6261,9345,200,28254,0.19,2520,-0.53,-4.77,-2.25,1000,90,1252,1869,5008,1869,1252,7476,5008,7476,-289.36,-31.04,-279.04,-131.68,289.36,31.04,279.04,131.68
slab_012,4635,12036,220,28999,0.19,2573,-0.49,-2.12,-1.13,1000,90,927,2407,3708,2407,927,9628,3708,9628,-309.84,-27.26,-118.18,-62.96,309.84,27.26,118.18,62.96
slab_013,4790,12526,250,31217,0.22,2469,-0.42,-4.9,-2.83,500,90,958,2505,3832,2505,958,10020,3832,10020,-363.64,-25.44,-294.2,-169.64,363.64,25.44,294.2,169.64
slab_014,4626,12202,200,31368,0.21,2600,-0.33,-4.85,-2.91,1000,45,925,2440,3700,2440,925,9761,3700,9761,-288.016,-18.64,-273.732,-164.276,288.016,18.64,273.732,164.276
slab_015,4877,13584,250,35552,0.22,2478,-0.8,-4.09,-2.1,500,0,975,2716,3901,2716,975,10867,3901,10867,-402.548,-53.08,-271.0,-139.32,402.548,53.08,271.0,139.32
slab_016,7559,13788,220,33093,0.2,2477,-0.72,-3.28,-2.15,500,90,1511,2757,6047,2757,1511,11030,6047,11030,-557.432,-75.296,-341.832,-224.248,557.432,75.296,341.832,224.248
