slab_id,b,h,d,E,nu,rho,sdl,ll,llred,mesh,angle,sx1,sy1,sx2,sy2,sx3,sy3,sx4,sy4,dl_load,sdl_load,ll_load,llred_load,dl_reaction,sdl_reaction,ll_reaction,llred_reaction
slab_030,7650,12556,220,29516,0.18,2491,-0.86,-2.01,-1.05,500,0,1530,2511,6120,2511,1530,10044,6120,10044,-515.944,-82.144,-193.152,-100.672,515.944,82.144,193.152,100.672
slab_031,6599,13713,180,29794,0.22,2451,-0.57,-4.14,-2.62,500,0,1319,2742,5279,2742,1319,10970,5279,10970,-391.496,-51.376,-374.432,-236.968,391.496,51.376,374.432,236.968
slab_032,4407,10491,180,28591,0.2,2528,-0.53,-2.17,-1.3,500,45,881,2098,3525,2098,881,8392,3525,8392,-206.24,-24.5,-100.32,-59.88,206.24,24.5,100.32,59.88
slab_033,5139,11259,200,34482,0.19,2582,-0.78,-2.2,-1.15,1000,90,1027,2251,4111,2251,1027,9007,4111,9007,-293.096,-45.152,-127.264,-66.528,293.095,45.152,127.264,66.529
slab_034,7480,11328,220,31764,0.19,2588,-0.86,-3.47,-2.25,750,0,1496,2265,5984,2265,1496,9062,5984,9062,-473.32,-72.72,-294.04,-190.56,473.32,72.72,294.04,190.56
slab_035,6140,14672,200,31607,0.18,2548,-0.88,-1.96,-0.83,500,45,1228,2934,4912,2934,1228,11737,4912,11737,-449.92,-79.648,-176.16,-75.336,449.92,79.648,176.16,75.336
slab_036,4429,9007,180,33153,0.21,2576,-0.54,-2.15,-1.11,750,0,885,1801,3543,1801,885,7205,3543,7205,-181.4,-21.568,-85.776,-44.384,181.4,21.568,85.776,44.384
slab_037,4990,10565,220,28838,0.2,2433,-0.99,-3.17,-1.34,500,45,998,2113,3992,2113,998,8452,3992,8452,-276.72,-52.0,-167.16,-71.04,276.72,52.0,167.16,71.04
slab_038,4155,13569,180,29658,0.21,2426,-0.61,-1.76,-1.13,500,45,831,2713,3324,2713,831,10855,3324,10855,-241.528,-34.128,-99.332,-63.568,241.528,34.128,99.332,63.568
slab_039,6869,15252,220,31065,0.19,2508,-0.62,-3.47,-2.15,500,90,1373,3050,5495,3050,1373,12201,5495,12201,-566.58,-64.8,-363.108,-225.324,566.58,64.8,363.109,225.323
slab_040,4042,8482,180,31499,0.19,2537,-0.79,-3.75,-1.85,500,90,808,1696,3233,1696,808,6785,3233,6785,-153.488,-27.104,-128.516,-63.424,153.488,27.104,128.516,63.424
slab_041,5628,10479,220,34181,0.19,2490,-0.97,-2.41,-1.36,750,45,1125,2095,4502,2095,1125,8383,4502,8383,-316.92,-57.0,-142.08,-80.16,316.92,57.0,142.08,80.16
slab_042,5474,12668,250,30313,0.22,2526,-0.75,-1.64,-1.1,750,45,1094,2533,4379,2533,1094,10134,4379,10134,-429.56,-51.996,-113.736,-76.204,429.56,51.996,113.736,76.204
slab_043,5773,11923,200,29817,0.21,2584,-0.81,-3.27,-1.71,750,45,1154,2384,4618,2384,1154,9538,4618,9538,-348.936,-55.84,-225.056,-117.776,348.935,55.84,225.056,117.776
slab_044,5182,8887,250,34175,0.2,2523,-0.49,-2.28,-1.36,750,45,1036,1777,4145,1777,1036,7109,4145,7109,-284.976,-22.584,-104.976,-62.52,284.976,22.584,104.976,62.52
slab_045,7516,15587,180,28168,0.21,2403,-0.88,-4.33,-2.19,1000,90,1503,3117,6012,3117,1503,12469,6012,12469,-497.212,-103.312,-507.304,-256.688,497.212,103.312,507.304,256.688
