slab_id,b,h,d,E,nu,rho,sdl,ll,llred,mesh,angle,sx1,sy1,sx2,sy2,sx3,sy3,sx4,sy4,dl_load,sdl_load,ll_load,llred_load,dl_reaction,sdl_reaction,ll_reaction,llred_reaction
slab_000,5878,12747,180,30009,0.19,2563,-0.53,-4.55,-2.3,1000,45,1175,2549,4702,2549,1175,10197,4702,10197,-339.1,-39.648,-340.924,-172.352,339.1,39.648,340.923,172.352
slab_001,7354,8234,200,28485,0.21,2558,-0.51,-2.03,-0.84,1000,45,1470,1646,5883,1646,1470,6587,5883,6587,-303.832,-30.908,-122.988,-50.908,303.832,30.908,122.988,50.908
slab_002,4465,10051,220,29186,0.21,2574,-0.42,-1.91,-0.82,500,45,893,2010,3572,2010,893,8040,3572,8040,-249.36,-19.04,-85.88,-36.68,249.36,19.04,85.88,36.68
slab_003,6993,14197,220,29860,0.21,2479,-0.89,-3.92,-2.54,750,0,1398,2839,5594,2839,1398,11357,5594,11357,-531.192,-88.08,-389.136,-252.0,531.191,88.079,389.136,252.0
slab_004,7661,12801,200,32030,0.2,2416,-0.88,-4.28,-2.73,500,0,1532,2560,6128,2560,1532,10240,6128,10240,-464.552,-86.304,-419.904,-268.208,464.552,86.304,419.904,268.208
slab_005,5913,13008,220,28919,0.19,2461,-0.68,-4.65,-3.23,750,90,1182,2601,4730,2601,1182,10406,4730,10406,-408.644,-52.216,-357.604,-248.628,408.644,52.216,357.604,248.628
slab_006,7807,11712,220,34933,0.2,2546,-0.31,-4.14,-2.85,500,90,1561,2342,6245,2342,1561,9369,6245,9369,-502.0,-28.2,-378.2,-260.0,502.0,28.2,378.2,260.0
slab_007,5576,9530,250,28883,0.21,2506,-0.87,-4.93,-2.68,500,0,1115,1906,4460,1906,1115,7624,4460,7624,-326.56,-46.64,-261.92,-142.72,326.56,46.64,261.92,142.72
slab_008,5803,14405,200,29403,0.19,2464,-0.53,-4.4,-2.21,500,0,1160,2881,4642,2881,1160,11524,4642,11524,-404.36,-44.88,-367.776,-185.028,404.361,44.88,367.775,185.028
slab_009,4990,9529,180,34583,0.2,2454,-0.71,-3.49,-1.89,750,90,998,1905,3992,1905,998,7623,3992,7623,-206.0,-33.664,-165.968,-90.0,206.0,33.664,165.968,90.0
slab_010,5017,8256,250,35754,0.21,2440,-0.55,-4.43,-2.78,500,45,1003,1651,4013,1651,1003,6604,4013,6604,-248.104,-22.664,-183.596,-115.024,248.104,22.664,183.596,115.024
